id;area_conocimiento_id;padre_id;titulo;orden;trimestre
3410020100;3410;3410020000;Sistemas De Ecuaciones De Primer Grado Con Dos Incógnitas;1;
3410020200;3410;3410020000;Métodos De Resolución:;2;
3410030100;3410;3410030000;Sistemas De Ecuaciones De Primer Grado Con Tres Incógnitas;1;
3410030200;3410;3410030000;Método De Resolución;2;
3410040100;3410;3410040000;El Conjunto De Los Números Complejos;1;
3410040200;3410;3410040000;Unidad Imaginaria Y Sus Propiedades;2;
3410040300;3410;3410040000;Potencias De La Unidad Imaginaria;3;
3410040400;3410;3410040000;Números Complejos Y Su Representación Gráfica;4;
3410040500;3410;3410040000;Propiedades, Operaciones (Adición, Sustracción, Multiplicación Y División);5;
3410040600;3410;3410040000;Operaciones Combinadas;6;
3410050100;3410;3410050000;Función Cuadrática Y Sus Características;1;
3410050200;3410;3410050000;Métodos De Resolución De Una Ecuación Cuadrática:;2;
3410050300;3410;3410050000;Soluciones Imaginarias, Propiedades Y Operaciones;3;
3410050400;3410;3410050000;Propiedades De Las Raíces De Una Ecuación Cuadrática;4;
